entity_id,domain,friendly_name,state,device_class,unit_of_measurement,area_id,area_name,device_id,device_name
sensor.huskers_team_rank,sensor,huskers_team_rank,Unranked,,,,,,
sensor.huskers_opponent_rank,sensor,huskers_opponent_rank,#21,,,,,,
sensor.huskers_event_url,sensor,huskers_event_url,https://www.espn.com/college-football/game/_/gameId/401752846/michigan-nebraska,,,,,,
sensor.huskers_venue_2,sensor,huskers_venue,"Memorial Stadium (Lincoln, NE)",,,,,,
sensor.huskers_location,sensor,huskers_location,"Lincoln, NE, USA",,,,,,
sensor.huskers_tv_network,sensor,huskers_tv_network,CBS,,,,,,
sensor.huskers_odds,sensor,huskers_odds,MICH -1.5,,,,,,
sensor.huskers_overunder,sensor,huskers_overunder,O/U 45.5,,,,,,
sensor.huskers_series_summary,sensor,huskers_series_summary,Series history unavailable,,,,,,
sensor.huskers_last_play,sensor,huskers_last_play,No recent play,,,,,,
sensor.huskers_down_distance_2,sensor,huskers_down_distance,N/A,,,,,,
sensor.huskers_possession_2,sensor,huskers_possession,unknown,,,,,,
sensor.huskers_team_timeouts,sensor,huskers_team_timeouts,unknown,,,,,,
sensor.huskers_opponent_timeouts,sensor,huskers_opponent_timeouts,unknown,,,,,,
sensor.huskers_win_probability,sensor,huskers_win_probability,unavailable,,%,,,,
sensor.huskers_opponent_win_probability,sensor,huskers_opponent_win_probability,unavailable,,%,,,,
sensor.huskers_game_phase_label,sensor,huskers_game_phase_label,Pregame,,,,,,
sensor.huskers_game_detail,sensor,huskers_game_detail,"CBS | MICH -1.5 | Lincoln, NE, USA",,,,,,
sensor.huskers_tailgate_countdown,sensor,huskers_tailgate_countdown,It's game time!,,,,,,
sensor.huskers_hype_message,sensor,huskers_hype_message,Tailgate mode: get the speakers blasting and paint the town scarlet.,,,,,,
sensor.huskers_fight_song_verse,sensor,huskers_fight_song_verse,unknown,,,,,,
sensor.humidor_temp_range_today_2,sensor,Humidor Temp Range Today,unavailable,,°F,,,,
sensor.humidor_humidity_range_today,sensor,Humidor Humidity Range Today,unavailable,,%,,,,
sensor.humidor_temperature_trend,sensor,Humidor Temperature Trend,Falling,,,,,,
sensor.humidor_system_status,sensor,Humidor System Status,Acceptable,,,,,,
sensor.humidor_system_health,sensor,Humidor System Health,75,,%,,,,
sensor.huskers_schedule_combined,sensor,huskers_schedule_combined,12 games scheduled,,,,,,
sensor.huskers_next_game,sensor,huskers_next_game,"Sep 20, 2025 2:30 PM CDT — vs Michigan Wolverines",,,,,,
sensor.huskers_game_status_espn,sensor,huskers_game_status_espn,Scheduled,,,,,,
sensor.huskers_record,sensor,huskers_record,0-0,,,,,,
sensor.huskers_record_dashboard,sensor,huskers_record_dashboard,0-0,,,,,,
sensor.huskers_kickoff_in_2_2,sensor,huskers_kickoff_in_2,0,,min,,,,
sensor.huskers_our_score_auto,sensor,huskers_our_score_auto,0,,,,,,
sensor.huskers_our_score_effective,sensor,huskers_our_score_effective,0,,,,,,
sensor.huskers_kickoff_in_auto,sensor,huskers_kickoff_in_auto,0,,min,,,,
sensor.huskers_kickoff_in_effective,sensor,huskers_kickoff_in_effective,0,,min,,,,
sensor.huskers_ap_ranking_espn,sensor,huskers_ap_ranking_espn,Unranked,,,,,,
sensor.big_ten_standings_espn,sensor,big_ten_standings_espn,50 teams,,,,,,
binary_sensor.huskers_is_pregame_espn,binary_sensor,huskers_is_pregame_espn,on,,,,,,
binary_sensor.huskers_is_live_espn,binary_sensor,huskers_is_live_espn,off,,,,,,
binary_sensor.huskers_is_postgame_espn,binary_sensor,huskers_is_postgame_espn,off,,,,,,
sensor.outdoor_temperature_wx,sensor,Outdoor Temperature (wx),77,temperature,°F,,,,
sensor.outdoor_humidity_wx,sensor,Outdoor Humidity (wx),68,humidity,%,,,,
sensor.outdoor_wind_speed_wx,sensor,Outdoor Wind Speed (wx),1.0,,mph,,,,
sensor.outdoor_pressure_wx,sensor,Outdoor Pressure (wx),29.94,,inHg,,,,
sensor.outdoor_visibility_wx,sensor,Outdoor Visibility (wx),0.0,distance,mi,,,,
sensor.outdoor_dew_point_approx,sensor,Outdoor Dew Point (approx),65.5,temperature,°F,,,,
sensor.outdoor_feels_like,sensor,Outdoor Feels Like,77.0,temperature,°F,,,,
sensor.uv_category_wx,sensor,UV Category (wx),Low,,,,,,
sensor.wx_pressure_tendency_3h,sensor,WX Pressure tendency (3h),Falling (−0.02-−0.06 inHg / 3h),,,,,,
binary_sensor.wx_storm_watch_pressure,binary_sensor,WX Storm Watch (pressure),off,problem,,,,,
binary_sensor.wx_storm_warning_pressure,binary_sensor,WX Storm Warning (pressure),off,safety,,,,,
input_text.huskers_last_score,input_text,Huskers Last Score Text,unknown,,,,,,
input_number.huskers_chase_cycle_seconds,input_number,Chase Cycle Length,30.0,,s,,,,
input_number.huskers_hail_bpm,input_number,Hail Varsity BPM,132.0,,bpm,,,,
input_number.huskers_hail_varsity_bpm,input_number,Hail Varsity BPM (Alias),132.0,,bpm,,,,
input_number.huskers_our_score,input_number,Our Score (Auto),0.0,,,,,,
input_number.huskers_our_score_manual,input_number,Our Score (Manual),0.0,,,,,,
input_number.huskers_kickoff_in_manual,input_number,Kickoff In (Manual),60.0,,min,,,,
input_boolean.huskers_automations_enabled,input_boolean,Huskers Automations Enabled,on,,,,,,
input_boolean.huskers_game_mode,input_boolean,Huskers Game Mode,on,,,,,,
input_boolean.huskers_test_mode,input_boolean,Huskers Test Mode,off,,,,,,
input_boolean.huskers_use_manual_score,input_boolean,Huskers Use Manual Score,off,,,,,,
input_boolean.huskers_use_manual_kickoff,input_boolean,Huskers Use Manual Kickoff,off,,,,,,
input_boolean.huskers_color_show,input_boolean,Huskers Color Show Active,off,,,,,,
input_boolean.huskers_theater_show_running,input_boolean,Huskers Theater Show Running,off,,,,,,
input_boolean.weather_notifications_enabled,input_boolean,Weather Notifications Enabled,on,,,,,,
sensor.kneplatt72_wind_speed_24h_avg,sensor,KNEPLATT72 Wind Speed (24h Avg),0.8,wind_speed,mph,,,,
sensor.kneplatt72_temperature_24h_mean,sensor,KNEPLATT72 Temperature (24h Mean),68.5,temperature,°F,,,,
sensor.kneplatt72_humidity_24h_change,sensor,KNEPLATT72 Humidity (24h Change),-30.0,humidity,%,,,,
sensor.kneplatt72_temperature_24h_change,sensor,KNEPLATT72 Temperature (24h Change),15.0,temperature,°F,,,,
sensor.kneplatt72_pressure_24h_change,sensor,KNEPLATT72 Pressure (24h Change),-0.01,pressure,inHg,,,,
sensor.kneplatt72_humidity_24h_mean,sensor,KNEPLATT72 Humidity (24h Mean),89.6,humidity,%,,,,
sensor.humidor_temp_change_1h,sensor,Humidor Temp Change (1h),-2.0,temperature,°F,,,,
sensor.humidor_temp_stats_24h,sensor,Humidor Temp Stats (24h),70.8,temperature,°F,,,,
sensor.humidor_humidity_change_1h,sensor,Humidor Humidity Change (1h),-10.03,humidity,%,,,,
sensor.humidor_humidity_stats_24h,sensor,Humidor Humidity Stats (24h),69.2,humidity,%,,,,
sensor.wx_pressure_change_3h,sensor,WX Pressure change 3h,-0.03,,inHg,,,,
sensor.wx_pressure_change_24h,sensor,WX Pressure change 24h,-0.05,,inHg,,,,
sun.sun,sun,Sun,above_horizon,,,,,,
sensor.sun_next_dawn_4,sensor,Sun Next dawn,2025-09-19T11:35:14+00:00,timestamp,,,,6ae36f125405ce40c4214d4dcda7515d,Sun
sensor.sun_next_dusk_4,sensor,Sun Next dusk,2025-09-19T01:00:44+00:00,timestamp,,,,6ae36f125405ce40c4214d4dcda7515d,Sun
sensor.sun_next_midnight_4,sensor,Sun Next midnight,2025-09-19T06:17:30+00:00,timestamp,,,,6ae36f125405ce40c4214d4dcda7515d,Sun
sensor.sun_next_noon_4,sensor,Sun Next noon,2025-09-18T18:18:08+00:00,timestamp,,,,6ae36f125405ce40c4214d4dcda7515d,Sun
sensor.sun_next_rising_4,sensor,Sun Next rising,2025-09-19T12:04:45+00:00,timestamp,,,,6ae36f125405ce40c4214d4dcda7515d,Sun
sensor.sun_next_setting_4,sensor,Sun Next setting,2025-09-19T00:31:16+00:00,timestamp,,,,6ae36f125405ce40c4214d4dcda7515d,Sun
sensor.wx_pressure_rate_3h,sensor,WX Pressure rate 3h,-0.0116,,inHg/h,,,,
sensor.wx_pressure_rate_1h,sensor,WX Pressure rate 1h,-0.0199,,inHg/h,,,,
update.mushroom_themes_update,update,Mushroom Themes update,off,,,,,a859a6417d79257be58b3eed8ffb8b4f,Mushroom Themes
update.layout_card_update,update,layout-card update,off,,,,,0f011ea205bea024050e38fc196d80e8,layout-card
update.team_tracker_card_update,update,Team Tracker Card update,off,,,,,09b85b82925c5e22e45c656d7120994f,Team Tracker Card
update.wundergroundpws_update,update,Wundergroundpws update,off,,,,,52e19bedaf56a4ba750dd44859bbba73,Wundergroundpws
update.mushroom_better_sliders_update,update,Mushroom - Better Sliders update,off,,,,,ff3668c42aadd832a937a7125fc37a61,Mushroom - Better Sliders
update.button_card_update,update,button-card update,off,,,,,db31598985f9036fecadca56b939ea39,button-card
update.govee_update,update,govee update,off,,,,,bb4f974ced1c511fe6347c84ca0574f5,govee
update.orbit_bhyve_update,update,Orbit BHyve update,off,,,,,22356226d935b0e37dd538a81739513a,Orbit BHyve
update.apexcharts_card_update,update,apexcharts-card update,off,,,,,088cec1e3d71feb37788485a104f98f0,apexcharts-card
update.weather_radar_card_update,update,Weather Radar Card update,off,,,,,dad545686320889e83b8d54ac069a5b0,Weather Radar Card
update.hacs_update,update,HACS update,off,,,,,b317182ae823c4a4de9ee9323335c195,HACS
update.hourly_weather_card_update,update,Hourly Weather Card update,off,,,,,a2b6c60ce03e785d60feaca99e17286d,Hourly Weather Card
update.tp_link_router_update,update,TP-Link Router update,off,,,,,51b7ed672d62e2df8843e8838eba4890,TP-Link Router
update.timer_bar_card_update,update,Timer Bar Card update,off,,,,,76098f0532d0e328e2d39f1c9809ba4d,Timer Bar Card
update.team_tracker_update,update,Team Tracker update,off,,,,,ce6ceb7979ea4d51632d603af9f27f37,Team Tracker
update.passive_ble_monitor_integration_update,update,Passive BLE monitor integration update,off,,,,,7c3fa3626d36a4e8286b5a342cbcdaf0,Passive BLE monitor integration
update.auto_entities_update,update,auto-entities update,off,,,,,7da91be1d3f819cc253add8154f96a60,auto-entities
update.mushroom_update,update,Mushroom update,off,,,,,b9463524b506e4d96febf9fe0e57cb6d,Mushroom
update.mini_graph_card_update,update,mini-graph-card update,off,,,,,ebde2db67515621b63ec344ba22c1a3b,mini-graph-card
sensor.espn_cfb_scoreboard,sensor,espn_cfb_scoreboard,16,,,,,,
sensor.espn_nebraska_team_info,sensor,espn_nebraska_team_info,Nebraska Cornhuskers,,,,,,
sensor.espn_nebraska_schedule,sensor,espn_nebraska_schedule,12,,,,,,
sensor.espn_cfb_rankings,sensor,espn_cfb_rankings,5,,,,,,
sensor.espn_big_ten_teams,sensor,espn_big_ten_teams,50,,,,,,
todo.shopping_list_4,todo,Shopping List,0,,,,,,
event.backup_automatic_backup,event,Backup Automatic backup,unknown,,,,,85c27663f8bf577fa1af47a71f7c32e9,Backup
sensor.backup_backup_manager_state,sensor,Backup Backup Manager state,idle,enum,,,,85c27663f8bf577fa1af47a71f7c32e9,Backup
sensor.backup_next_scheduled_automatic_backup,sensor,Backup Next scheduled automatic backup,unknown,timestamp,,,,85c27663f8bf577fa1af47a71f7c32e9,Backup
sensor.backup_last_successful_automatic_backup,sensor,Backup Last successful automatic backup,unknown,timestamp,,,,85c27663f8bf577fa1af47a71f7c32e9,Backup
sensor.backup_last_attempted_automatic_backup,sensor,Backup Last attempted automatic backup,unknown,timestamp,,,,85c27663f8bf577fa1af47a71f7c32e9,Backup
weather.kneplatt72,weather,KNEPLATT72,lightning-rainy,,,,,,
sensor.kneplatt72_neighborhood,sensor,Neighborhood,Plattsmouth,,,,,,
sensor.kneplatt72_local_observation_time,sensor,Local Observation Time,2025-09-18 12:23:25,,,,,,
sensor.kneplatt72_relative_humidity,sensor,Relative Humidity,68,humidity,%,,,,
sensor.kneplatt72_station_id,sensor,Station ID,KNEPLATT72,,,,,,
sensor.kneplatt72_solar_radiation,sensor,Solar Radiation,0,irradiance,,,,,
sensor.kneplatt72_uv_index,sensor,UV Index,0,,,,,,
sensor.kneplatt72_wind_direction_degrees,sensor,Wind Direction - Degrees,338,,°,,,,
sensor.kneplatt72_wind_direction_cardinal,sensor,Wind Direction - Cardinal,NNW,,,,,,
sensor.kneplatt72_elevation,sensor,Elevation,1109,distance,ft,,,,
sensor.kneplatt72_dewpoint,sensor,Dewpoint,66,temperature,°F,,,,
sensor.kneplatt72_temperature,sensor,Temperature,77,temperature,°F,,,,
sensor.kneplatt72_heat_index,sensor,Heat Index,78,temperature,°F,,,,
sensor.kneplatt72_wind_chill,sensor,Wind Chill,77,temperature,°F,,,,
sensor.kneplatt72_precipitation_rate,sensor,Precipitation Rate,0.0,precipitation_intensity,in/h,,,,
sensor.kneplatt72_precipitation_today,sensor,Precipitation Today,0.0,precipitation,in,,,,
sensor.kneplatt72_pressure,sensor,Pressure,29.94,pressure,inHg,,,,
sensor.kneplatt72_wind_gust,sensor,Wind Gust,2,wind_speed,mph,,,,
sensor.kneplatt72_wind_speed,sensor,Wind Speed,1,wind_speed,mph,,,,
tts.google_translate_en_com_4,tts,Google Translate en com,unknown,,,,,,
sensor.husker_team,sensor,team_tracker,PRE,,,,,,
weather.forecast_home,weather,Forecast Our Home,rainy,,,,,3d5c1e7dfb90fca2199d3f50d28d368f,Forecast
automation.evening_lights_at_sunset,automation,Lighting: Evening Lights at Sunset,on,,,,,,
automation.lighting_night_mode_at_midnight,automation,Lighting: Night Mode at Midnight,on,,,,,,
automation.early_morning_lights_03_30,automation,Lighting: Early Morning Gentle Wake (3:30 AM),on,,,,,,
automation.interior_lights_off_15_minutes_after_sunrise,automation,Lighting: Morning Lights Off (Sunrise + 15min),on,,,,,,
automation.lighting_morning_lights_off_sunrise,automation,Lighting: Morning Lights Off (Sunrise),on,,,,,,
automation.exterior_led_monthly_effect,automation,LED: Monthly Effect Scheduler,on,,,,,,
automation.humidor_plug_temperature_control,automation,Climate: Humidor Temperature Control,on,,,,,,
automation.safety_turn_off_burner_plugs_at_11_00_pm,automation,Safety: Nightly Burner Plug Shutoff,on,,,,,,
automation.huskers_pregame_showtime_t_20_minutes,automation,Huskers: Pregame Showtime (T-20 Minutes),on,,,,,,
automation.huskers_td_burst_on_score,automation,Huskers: Touchdown Celebration,on,,,,,,
automation.huskers_postgame_cleanup,automation,Huskers: Postgame Cleanup,on,,,,,,
automation.weather_severe_alert_notification,automation,Weather: Severe Alert → Notification,on,,,,,,
sensor.sprinkler_state,sensor,Sprinkler state,auto,,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
sensor.south_side_zone_history,sensor,South Side zone history,2025-09-18T08:06:22-05:00,timestamp,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
sensor.back_south_zone_history,sensor,Back South zone history,2025-09-18T08:08:25-05:00,timestamp,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
sensor.back_north_zone_history,sensor,Back north zone history,2025-09-18T04:20:02-05:00,timestamp,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
sensor.front_zone_history,sensor,Front zone history,2025-09-18T04:30:02-05:00,timestamp,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
sensor.zone_5_zone_history,sensor,Zone 5 zone history,2025-09-18T04:40:02-05:00,timestamp,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
switch.sprinkler_rain_delay,switch,Sprinkler rain delay,off,switch,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
switch.south_side_zone,switch,South Side zone,off,switch,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
switch.back_south_zone,switch,Back South zone,off,switch,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
switch.back_north_zone,switch,Back north zone,off,switch,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
switch.front_zone,switch,Front zone,off,switch,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
switch.zone_5_zone,switch,Zone 5 zone,off,switch,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
switch.sprinkler_scheduled_program,switch,Sprinkler Scheduled program,off,switch,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
switch.sprinkler_midday_program,switch,Sprinkler Midday program,off,switch,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
switch.sprinkler_evening_program,switch,Sprinkler Evening program,off,switch,,exterior,Exterior,67eb85ad8b7ef15ca2eb06d3e1dd94cf,Sprinkler
sensor.sun_next_dawn,sensor,Next dawn,unavailable,timestamp,,,,abce634bdd80dd56e4344aab1f834205,
sensor.sun_next_dusk,sensor,Next dusk,unavailable,timestamp,,,,abce634bdd80dd56e4344aab1f834205,
sensor.sun_next_midnight,sensor,Next midnight,unavailable,timestamp,,,,abce634bdd80dd56e4344aab1f834205,
sensor.sun_next_noon,sensor,Next noon,unavailable,timestamp,,,,abce634bdd80dd56e4344aab1f834205,
sensor.sun_next_rising,sensor,Next rising,unavailable,timestamp,,,,abce634bdd80dd56e4344aab1f834205,
sensor.sun_next_setting,sensor,Next setting,unavailable,timestamp,,,,abce634bdd80dd56e4344aab1f834205,
media_player.public_speakers,media_player,,unavailable,speaker,,,,bfd7bbbe294fea03455fd4952a9e9586,
media_player.living_room_display,media_player,,unavailable,,,,,2387ed02ff027e085d0e102d4353f50e,
media_player.master_bedroom_speaker,media_player,,unavailable,speaker,,,,99b3fef46d28b8a79538daabd252f0b1,
media_player.office_speaker,media_player,,unavailable,speaker,,,,961fb0ca7eba7bfe29d70d73b887809c,
media_player.ari_s_bedroom_speaker,media_player,,unavailable,speaker,,,,e737dfabc92f53e839d56891d3c76db7,
media_player.bedroom_tv,media_player,,unavailable,,,,,a717f57f5e5bc75ea3c3abd5028b560a,
media_player.basement_soundbar,media_player,,unavailable,speaker,,,,2c239d6fae4caedcc8d00ccbdbc3a2a8,
person.diego_sainz,person,diego sainz,unavailable,,,,,,
todo.shopping_list,todo,Shopping List,unavailable,,,,,,
tts.google_translate_en_com,tts,Google Translate en com,unavailable,,,,,,
sensor.sun_next_dawn_2,sensor,Next dawn,unavailable,timestamp,,,,1d5ec72ec4116dce4a727bbc0bd37bea,
sensor.sun_next_dusk_2,sensor,Next dusk,unavailable,timestamp,,,,1d5ec72ec4116dce4a727bbc0bd37bea,
sensor.sun_next_midnight_2,sensor,Next midnight,unavailable,timestamp,,,,1d5ec72ec4116dce4a727bbc0bd37bea,
sensor.sun_next_noon_2,sensor,Next noon,unavailable,timestamp,,,,1d5ec72ec4116dce4a727bbc0bd37bea,
sensor.sun_next_rising_2,sensor,Next rising,unavailable,timestamp,,,,1d5ec72ec4116dce4a727bbc0bd37bea,
sensor.sun_next_setting_2,sensor,Next setting,unavailable,timestamp,,,,1d5ec72ec4116dce4a727bbc0bd37bea,
tts.google_translate_en_com_2,tts,Google Translate en com,unavailable,,,,,,
todo.shopping_list_2,todo,Shopping List,unavailable,,,,,,
person.dad,person,dad,unavailable,,,,,,
device_tracker.diegos_ipad,device_tracker,Diego’s iPad ,unavailable,,,,,a74ffecb678f8bd2a158ad6f7b2682d3,
sensor.diegos_ipad_activity,sensor,Diego’s iPad  Activity,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
sensor.diegos_ipad_battery_state,sensor,Diego’s iPad  Battery State,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
sensor.diegos_ipad_connection_type,sensor,Diego’s iPad  Connection Type,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
sensor.diegos_ipad_sim_1,sensor,Diego’s iPad  SIM 1,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
sensor.diegos_ipad_geocoded_location,sensor,Diego’s iPad  Geocoded Location,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
sensor.diegos_ipad_battery_level,sensor,Diego’s iPad  Battery Level,unavailable,battery,%,,,2766c406603a984e2cbae6b173a383ad,
sensor.diegos_ipad_storage,sensor,Diego’s iPad  Storage,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
binary_sensor.diegos_ipad_focus,binary_sensor,Diego’s iPad  Focus,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
sensor.diegos_ipad_ssid,sensor,Diego’s iPad  SSID,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
sensor.diegos_ipad_bssid,sensor,Diego’s iPad  BSSID,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
sensor.diegos_ipad_last_update_trigger,sensor,Diego’s iPad  Last Update Trigger,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
sensor.diegos_ipad_location_permission,sensor,Diego’s iPad  Location permission,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
sensor.diegos_ipad_app_version,sensor,Diego’s iPad  App Version,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
sensor.diegos_ipad_audio_output,sensor,Diego’s iPad  Audio Output,unavailable,,,,,2766c406603a984e2cbae6b173a383ad,
person.mqtt,person,mqtt,unavailable,,,,,,
